stock1,stock2,value,year,weight
HR,HTA,98.33333333,2020,0.12
CUBE,EXR,98.16666667,2020,0.108
DRE,FR,97.75,2020,0.108
ELS,SUI,97.5,2020,0.12
PCH,WY,97.41666667,2020,0.12
BRX,KIM,97.25,2020,0.12
DCI,PH,97,2020,0.0996
CFG,KEY,96.58333333,2020,0.12
AEP,SO,96.5,2020,0.072
AEP,XEL,96.5,2020,0.072
CMS,WEC,96.5,2020,0.144
PAA,PAGP,98.33333333,2021,0.109
H,MAR,98.16666667,2021,0.109
LSI,NSA,97.75,2021,0.072
CPT,MAA,97.5,2021,0.072
MCO,SPGI,97.41666667,2021,0.109
ATO,NI,97.25,2021,0.109
DRH,PEB,97,2021,0.072
MET,MFC,96.58333333,2021,0.109
BP,TTE,96.5,2021,0.109
ARCC,GBDC,96.5,2021,0.109
ETN,MWA,96.5,2021,0.109
ALK,JBLU,,2021,0.109
PAA,PAGP,99.66666667,2022,0.072
AEE,FTS,98.77777778,2022,0.072
CUZ,HIW,98.44444444,2022,0.109
ARCC,NMFC,98.33333333,2022,0.109
AVB,EQR,98.05555556,2022,0.072
HLT,MAR,97.72222222,2022,0.109
NTRS,SEIC,97.66666667,2022,0.109
DUK,FTS,97.5,2022,0.109
FFBC,FNB,97.5,2022,0.109
RSG,WM,97.38888889,2022,0.109
PAA,PAGP,99.3077687,2023,0.072
ARCC,TSLX,98.92315302,2023,0.072
ARCC,NMFC,97.96161382,2023,0.109
ASB,HBAN,97.57699814,2023,0.109
MPLX,PAGP,97.53853657,2023,0.072
FFBC,ONB,97.500075,2023,0.109
ET,PAGP,97.38469,2023,0.109
KNX,WERN,97.15392089,2023,0.109
MCO,SPGI,97.11545932,2023,0.109
BSX,SYK,97.07699775,2023,0.109
PAA,PAGP,99.8,2024,0.072
BEP,BEPC,98.5,2024,0.072
MCO,SPGI,98.5,2024,0.109
ASB,HBAN,98.5,2024,0.109
KNX,WERN,98.4,2024,0.072
FTS,LNT,98.4,2024,0.109
LADR,RITM,98.3,2024,0.109
HBAN,WTFC,97.9,2024,0.109
AM,WES,97.8,2024,0.109
ARCC,TSLX,97.6,2024,0.109
